지역,등록번호,학원명,학원종류,분야구분,학원주소,우편번호,등록상태,설립자,일시수용능력인원,정원합계,교습과정,교습과목,정원,모의고사비,재료비,급식비,기숙사비,차량비,피복비,기타경비합계,총교습비,총교습비(시간당),경도,위도
포항시,등1368,국풍2000우현국어논술학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 우창동로 70, , 501호(우현동)",37637,개원,박선경,50,100,보습,고등국어A,11,0,0,0,0,0,0,0,250000,13392,129.3658593,36.05707236
포항시,2003,권오혁수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 대곡로 56, , 3층 일부 (두호동,대교빌딩)",791804,개원,권오혁,36,144,보습,수학(초등),48,0,0,0,0,0,0,0,200000,8333,129.3733377,36.06789555
포항시,2539,글정원독서논술학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 천마로72번길 32, , 5층 (양덕동)",37589,개원,양재영,95,240,보습,초등A,40,0,0,0,0,0,0,0,0,0,129.4004426,36.08289603
포항시,등548,그린학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 남구 오천읍 정몽주로669번길 5, , 3층 (오천읍)",37904,개원,김승우,60,60,보습,보습(종합),60,0,0,0,0,0,0,0,180000,6000,129.4125357,35.9771336
포항시,등448,그린피아노학원,학교교과교습학원,예능(대),"경상북도 포항시 남구 연일읍 연일로 144, , 연일삼도한솔타운상가 104동 302호  (연일읍,연일삼도한솔타운 상가)",790883,개원,장선희,7,72,음악,피아노(유치부),5,0,0,0,0,0,0,0,100000,5000,129.3436111,35.99831594
포항시,1934,글로벌어학원,학교교과교습학원,국제화,"경상북도 포항시 북구 새천년대로1020번길 3, , 301호 (두호동,두호동 복합상가)",791803,개원,권용재,100,260,실용외국어(유아/초·중·고),영어B(한인),18,0,0,0,0,0,0,0,170000,10200,129.3708936,36.05981007
포항시,2312,그리다아트드로잉스튜디오미술학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 장량로139번길 34, , 3층 (양덕동)",37587,개원,박희영,30,100,미술,미술초급2,40,0,0,0,0,0,0,0,120000,6000,129.3944076,36.08472899
포항시,등861,김병수수학학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 두호로 12,  3층 (두호동)",791110,개원,현숙,36,50,보습,중등단과(수학),20,0,0,0,0,0,0,0,200000,11009,129.3773383,36.05984586
포항시,2275,그린빌음악학원,학교교과교습학원,예능(대),"경상북도 포항시 북구 삼호로 393, , 해맞이그린빌분산상가 201~203호 (환호동)",37604,개원,김내영,35,200,음악,피아노(초급A),100,0,0,0,0,0,0,0,130000,6000,129.3907654,36.06858643
포항시,2636,기탄사고력교실포항우현학원,학교교과교습학원,입시.검정 및 보습,"경상북도 포항시 북구 우창동로55번길 19, , 401호 (우현동)",37636,개원,배솔이,24,100,보습,"초등종합(국,영,수,논술)",100,0,0,0,0,0,0,0,199000,8529,129.3625945,36.05583943
