"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","당해연도 졸업자-남","당해연도 졸업자-여","당해연도 졸업자-합계","당해연도 졸업자-비율","이전연도 졸업자-남","이전연도 졸업자-여","이전연도 졸업자-합계","이전연도 졸업자-비율","검정고시 및 교육과정 이수자-남","검정고시 및 교육과정 이수자-여","검정고시 및 교육과정 이수자-합계","검정고시 및 교육과정 이수자-비율","기 타-남","기 타-여","기 타-합계","기 타-비율","합계-남","합계-여","합계"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000723","경북체육고등학교","04","공립","N","","53","29","82","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","53","29","82"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000724","경산고등학교","04","공립","N","","265","0","265","99.6","0","0","0","0.0","1","0","1","0.4","0","0","0","0.0","266","0","266"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000726","경산여자고등학교","04","사립","N","","0","316","316","98.4","0","1","1","0.3","0","4","4","1.2","0","0","0","0.0","0","321","321"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000728","경산제일고등학교","04","사립","N","","0","122","122","97.6","0","2","2","1.6","0","1","1","0.8","0","0","0","0.0","0","125","125"
"경상북도교육청","경상북도교육청","경상북도 경산시","S150000729","경북기계금속고등학교","04","공립","N","","120","0","120","98.4","2","0","2","1.6","0","0","0","0.0","0","0","0","0.0","122","0","122"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000730","경안고등학교","04","사립","N","","133","0","133","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","133","0","133"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000732","경안여자고등학교","04","사립","N","","0","108","108","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","108","108"
"경상북도교육청","경상북도교육청","경상북도 안동시","S150000733","경일고등학교","04","사립","N","","54","0","54","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","54","0","54"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000734","경주고등학교","04","사립","N","","199","0","199","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","199","0","199"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000735","경주공업고등학교","04","공립","N","","108","9","117","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","108","9","117"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000736","경주디자인고등학교","04","공립","N","","17","36","53","96.4","0","2","2","3.6","0","0","0","0.0","0","0","0","0.0","17","38","55"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000738","경주여자고등학교","04","공립","N","","0","192","192","99.5","0","0","0","0.0","0","1","1","0.5","0","0","0","0.0","0","193","193"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000740","경주여자정보고등학교","04","사립","N","","0","175","175","98.3","0","2","2","1.1","0","1","1","0.6","0","0","0","0.0","0","178","178"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000741","경주정보고등학교","04","사립","N","","184","0","184","92.9","0","0","0","0.0","0","0","0","0.0","14","0","14","7.1","198","0","198"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000743","경주화랑고등학교","04","사립","N","","12","9","21","77.8","3","2","5","18.5","1","0","1","3.7","0","0","0","0.0","16","11","27"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000746","계림고등학교","04","공립","N","","108","0","108","93.9","0","0","0","0.0","0","0","0","0.0","7","0","7","6.1","115","0","115"
"경상북도교육청","경상북도교육청","경상북도 고령군","S150000748","한국조리명장고등학교","04","공립","N","","33","14","47","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","33","14","47"
"경상북도교육청","경상북도교육청","경상북도 포항시 남구","S150000752","포항과학기술고등학교","04","공립","N","","16","19","35","97.2","1","0","1","2.8","0","0","0","0.0","0","0","0","0.0","17","19","36"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000753","구미고등학교","04","공립","N","","215","0","215","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","215","0","215"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000756","구미여자고등학교","04","공립","N","","0","213","213","100.0","0","0","0","0.0","0","0","0","0.0","0","0","0","0.0","0","213","213"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000758","구미정보고등학교","04","공립","N","","70","46","116","98.3","2","0","2","1.7","0","0","0","0.0","0","0","0","0.0","72","46","118"
"경상북도교육청","경상북도교육청","경상북도 구미시","S150000759","구미여자상업고등학교","04","공립","N","","0","144","144","98.6","0","0","0","0.0","0","0","0","0.0","0","2","2","1.4","0","146","146"
"경상북도교육청","경상북도교육청","경상북도 경주시","S150000764","근화여자고등학교","04","사립","N","","0","173","173","99.4","0","0","0","0.0","0","1","1","0.6","0","0","0","0.0","0","174","174"
"경상북도교육청","경상북도교육청","경상북도 의성군","S150000765","금성고등학교","04","공립","N","","5","6","11","91.7","0","1","1","8.3","0","0","0","0.0","0","0","0","0.0","5","7","12"
